level_name,obj_path,type
Abyss_P,/Game/Maps/Zone_2/Abyss/Abyss_Dynamic.Abyss_Dynamic:PersistentLevel.IO_AncientEncounter_Obelisk_Challenge_2.BP_CrewChallengeComponent_Daffodil_Bounty,map
Abyss_P,/Game/Maps/Zone_2/Abyss/Abyss_P.Abyss_P:PersistentLevel.IO_Challenge_LostMarble_5.BP_CrewChallengeComponent_Daffodil,map
Abyss_P,/Game/Maps/Zone_2/Abyss/Abyss_P.Abyss_P:PersistentLevel.IO_Challenge_LostMarble_8.BP_CrewChallengeComponent_Daffodil,map
Abyss_P,/Game/Maps/Zone_2/Abyss/Abyss_P.Abyss_P:PersistentLevel.IO_Challenge_LostPage_0.BP_CrewChallengeComponent_Daffodil,map
Abyss_P,/Game/Maps/Zone_2/Abyss/Abyss_P.Abyss_P:PersistentLevel.IO_Challenge_LostPage_2.BP_CrewChallengeComponent_Daffodil,map
Abyss_P,/Game/Maps/Zone_2/Abyss/Abyss_P.Abyss_P:PersistentLevel.IO_RuneSwitchChallenge_Podium_2.BP_CrewChallengeComponent_Daffodil,map
Beanstalk_P,/Game/Maps/Zone_2/Beanstalk/Beanstalk_Dynamic.Beanstalk_Dynamic:PersistentLevel.IO_AncientEncounter_Obelisk_Challenge_2.BP_CrewChallengeComponent_Daffodil_Bounty,map
Beanstalk_P,/Game/Maps/Zone_2/Beanstalk/Beanstalk_Dynamic.Beanstalk_Dynamic:PersistentLevel.IO_Challenge_LostMarble_1.BP_CrewChallengeComponent_Daffodil,map
Beanstalk_P,/Game/Maps/Zone_2/Beanstalk/Beanstalk_Dynamic.Beanstalk_Dynamic:PersistentLevel.IO_Challenge_LostMarble_3.BP_CrewChallengeComponent_Daffodil,map
Beanstalk_P,/Game/Maps/Zone_2/Beanstalk/Beanstalk_Dynamic.Beanstalk_Dynamic:PersistentLevel.IO_Challenge_LostPage_0.BP_CrewChallengeComponent_Daffodil,map
Beanstalk_P,/Game/Maps/Zone_2/Beanstalk/Beanstalk_Dynamic.Beanstalk_Dynamic:PersistentLevel.IO_RuneSwitchChallenge_Podium_2.BP_CrewChallengeComponent_Daffodil,map
Climb_P,/Game/Maps/Zone_2/Climb/Climb_Dynamic.Climb_Dynamic:PersistentLevel.IO_AncientEncounter_Obelisk_Challenge_2.BP_CrewChallengeComponent_Daffodil_Bounty,map
Climb_P,/Game/Maps/Zone_2/Climb/Climb_P.Climb_P:PersistentLevel.IO_Challenge_LostMarble_2.BP_CrewChallengeComponent_Daffodil,map
Climb_P,/Game/Maps/Zone_2/Climb/Climb_P.Climb_P:PersistentLevel.IO_Challenge_LostMarble_5.BP_CrewChallengeComponent_Daffodil,map
Climb_P,/Game/Maps/Zone_2/Climb/Climb_P.Climb_P:PersistentLevel.IO_Challenge_LostPage_2.BP_CrewChallengeComponent_Daffodil,map
Climb_P,/Game/Maps/Zone_2/Climb/Climb_P.Climb_P:PersistentLevel.IO_RuneSwitchChallenge_Podium_2.BP_CrewChallengeComponent_Daffodil,map
Goblin_P,/Game/Maps/Zone_1/Goblin/Goblin_Dynamic.Goblin_Dynamic:PersistentLevel.IO_AncientEncounter_Obelisk_Challenge_2.BP_CrewChallengeComponent_Daffodil_Bounty,map
Goblin_P,/Game/Maps/Zone_1/Goblin/Goblin_Dynamic.Goblin_Dynamic:PersistentLevel.IO_Challenge_LostMarble_0.BP_CrewChallengeComponent_Daffodil,map
Goblin_P,/Game/Maps/Zone_1/Goblin/Goblin_Dynamic.Goblin_Dynamic:PersistentLevel.IO_Challenge_LostMarble_2.BP_CrewChallengeComponent_Daffodil,map
Goblin_P,/Game/Maps/Zone_1/Goblin/Goblin_Dynamic.Goblin_Dynamic:PersistentLevel.IO_Challenge_LostPage_0.BP_CrewChallengeComponent_Daffodil,map
Goblin_P,/Game/Maps/Zone_1/Goblin/Goblin_Dynamic.Goblin_Dynamic:PersistentLevel.IO_Challenge_LostPage_1.BP_CrewChallengeComponent_Daffodil,map
Goblin_P,/Game/Maps/Zone_1/Goblin/Goblin_Dynamic.Goblin_Dynamic:PersistentLevel.IO_RuneSwitchChallenge_Podium_2.BP_CrewChallengeComponent_Daffodil,map
