Manufacturer/Name,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
Ashen,01/Common,InvBalD_Shield_Anshin_01_Common,BODY,1,1,1,Shield_Part_Body_01_Anshin,,
Ashen,01/Common,InvBalD_Shield_Anshin_01_Common,RARITY,1,1,1,Shield_Part_Rarity_Anshin_01_Common,,
Ashen,01/Common,InvBalD_Shield_Anshin_01_Common,AUGMENT,1,1,1,Shield_Part_Aug_00_None,,
Ashen,01/Common,InvBalD_Shield_Anshin_01_Common,ELEMENT,1,1,1,Shield_Part_Element_Normal,,"Part_Shield_Aug_Nova, Part_Shield_Aug_Resistance"
Ashen,01/Common,InvBalD_Shield_Anshin_01_Common,MATERIAL,1,1,1,Shield_Part_Material_Anshin_01_Common,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,BODY,1,1,1,Shield_Part_Body_01_Anshin,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,RARITY,1,1,1,Shield_Part_Rarity_Anshin_02_Uncommon,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Absorb,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Absorb,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Absorb,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Adrenaline,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Adrenaline,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Adrenaline,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Amp,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Amp,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Amp,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Capacity,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Capacity,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Capacity,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Nova,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Nova,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Nova,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeDelay,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeDelay,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeDelay,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeRate,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeRate,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_RechargeRate,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Reflect,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Reflect,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Reflect,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Resistance,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Resistance,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Resistance,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Roid,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Roid,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Roid,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Spike,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Spike,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Spike,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_TriggerHappy,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_TriggerHappy,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_TriggerHappy,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Turtle,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Turtle,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,AUGMENT,1,1,1,Part_Shield_Aug_Turtle,,"Shield_Part_Rarity_Anshin_02_Uncommon, Shield_Part_Rarity_Hyperion_02_Uncommon, Shield_Part_Rarity_Pangolin_02_Uncommon"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,ELEMENT,1,1,1,Shield_Part_Element_Normal,,"Part_Shield_Aug_Nova, Part_Shield_Aug_Resistance"
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,ELEMENT,1,1,0.1,Shield_Part_Element_Fire,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,ELEMENT,1,1,0.1,Shield_Part_Element_Cryo,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,ELEMENT,1,1,0.1,Shield_Part_Element_Poison,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,ELEMENT,1,1,0.1,Shield_Part_Element_Shock,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,ELEMENT,1,1,0.1,Shield_Part_Element_DarkMagic,,
Ashen,02/Uncommon,InvBalD_Shield_Anshin_02_Uncommon,MATERIAL,1,1,1,Shield_Part_Material_Anshin_02_Uncommon,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,BODY,1,1,1,Shield_Part_Body_01_Anshin,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,RARITY,1,1,1,Shield_Part_Rarity_Anshin_03_Rare,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Absorb,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Absorb,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Absorb,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Adrenaline,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Adrenaline,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Adrenaline,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Amp,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Amp,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Amp,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Capacity,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Capacity,,
Ashen,03/Rare,InvBalD_Shield_Anshin_03_Rare,AUGMENT,2,2,1,Part_Shield_Aug_Capacity,,
