Type/Name,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
Generic,01/Common,Balance_Rings_01_Common,RARITY,1,1,1,Part_Ring_01_Common,,
Generic,01/Common,Balance_Rings_01_Common,MAJOR,1,1,1,Part_Ring_Major_None,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.03125,Part_Ring_Minor_Companion_CritChance,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.03125,Part_Ring_Minor_Companion_CritChance,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.03125,Part_Ring_Minor_Companion_CritChance,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.03125,Part_Ring_Minor_Companion_CritDamage,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.03125,Part_Ring_Minor_Companion_CritDamage,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.03125,Part_Ring_Minor_Companion_CritDamage,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.010417,Part_Ring_Minor_Companion_Health,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.010417,Part_Ring_Minor_Companion_Health,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.010417,Part_Ring_Minor_Companion_Health,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.083333,Part_Ring_Minor_DarkMagicMaxLeech,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.083333,Part_Ring_Minor_DarkMagicMaxLeech,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.083333,Part_Ring_Minor_DarkMagicMaxLeech,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.083333,Part_Ring_Minor_Melee_CritChance,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.083333,Part_Ring_Minor_Melee_CritChance,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.083333,Part_Ring_Minor_Melee_CritChance,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.083333,Part_Ring_Minor_Melee_CritDamage,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.083333,Part_Ring_Minor_Melee_CritDamage,,
Generic,01/Common,Balance_Rings_01_Common,MINOR,1,1,0.083333,Part_Ring_Minor_Melee_CritDamage,,
